date,stock_code,stock_name,eps_forward,target_price,rating_point
2025-01-02,000001,SAMPLE_A,5000,130,4.0
2025-01-02,000002,SAMPLE_B,5250,140,3.8
2025-01-02,000003,SAMPLE_C,5500,150,3.6
2025-01-03,000001,SAMPLE_A,5010,130,4.0
2025-01-03,000002,SAMPLE_B,5260,140,3.8
2025-01-03,000003,SAMPLE_C,5510,150,3.6
2025-01-04,000001,SAMPLE_A,5020,130,4.0
2025-01-04,000002,SAMPLE_B,5270,140,3.8
2025-01-04,000003,SAMPLE_C,5520,150,3.6
2025-01-05,000001,SAMPLE_A,5030,130,4.0
2025-01-05,000002,SAMPLE_B,5280,140,3.8
2025-01-05,000003,SAMPLE_C,5530,150,3.6
2025-01-06,000001,SAMPLE_A,5040,130,4.0
2025-01-06,000002,SAMPLE_B,5290,140,3.8
2025-01-06,000003,SAMPLE_C,5540,150,3.6
