date,etf_code,etf_name,stock_code,stock_isin,market_id,security_group,stock_name,cu1_shares,valuation_amount,weight,source
2025-01-02,SAMPLE_ETF,SAMPLE ETF,000001,SAMPLE_ISIN_1,STK,STOCK,SAMPLE_A,1000,100000000,0.4,synthetic
2025-01-02,SAMPLE_ETF,SAMPLE ETF,000002,SAMPLE_ISIN_2,STK,STOCK,SAMPLE_B,1100,110000000,0.35,synthetic
2025-01-02,SAMPLE_ETF,SAMPLE ETF,000003,SAMPLE_ISIN_3,STK,STOCK,SAMPLE_C,1200,120000000,0.25,synthetic
2025-01-03,SAMPLE_ETF,SAMPLE ETF,000001,SAMPLE_ISIN_1,STK,STOCK,SAMPLE_A,1000,100000000,0.4,synthetic
2025-01-03,SAMPLE_ETF,SAMPLE ETF,000002,SAMPLE_ISIN_2,STK,STOCK,SAMPLE_B,1100,110000000,0.35,synthetic
2025-01-03,SAMPLE_ETF,SAMPLE ETF,000003,SAMPLE_ISIN_3,STK,STOCK,SAMPLE_C,1200,120000000,0.25,synthetic
2025-01-04,SAMPLE_ETF,SAMPLE ETF,000001,SAMPLE_ISIN_1,STK,STOCK,SAMPLE_A,1000,100000000,0.4,synthetic
2025-01-04,SAMPLE_ETF,SAMPLE ETF,000002,SAMPLE_ISIN_2,STK,STOCK,SAMPLE_B,1100,110000000,0.35,synthetic
2025-01-04,SAMPLE_ETF,SAMPLE ETF,000003,SAMPLE_ISIN_3,STK,STOCK,SAMPLE_C,1200,120000000,0.25,synthetic
2025-01-05,SAMPLE_ETF,SAMPLE ETF,000001,SAMPLE_ISIN_1,STK,STOCK,SAMPLE_A,1000,100000000,0.4,synthetic
2025-01-05,SAMPLE_ETF,SAMPLE ETF,000002,SAMPLE_ISIN_2,STK,STOCK,SAMPLE_B,1100,110000000,0.35,synthetic
2025-01-05,SAMPLE_ETF,SAMPLE ETF,000003,SAMPLE_ISIN_3,STK,STOCK,SAMPLE_C,1200,120000000,0.25,synthetic
2025-01-06,SAMPLE_ETF,SAMPLE ETF,000001,SAMPLE_ISIN_1,STK,STOCK,SAMPLE_A,1000,100000000,0.4,synthetic
2025-01-06,SAMPLE_ETF,SAMPLE ETF,000002,SAMPLE_ISIN_2,STK,STOCK,SAMPLE_B,1100,110000000,0.35,synthetic
2025-01-06,SAMPLE_ETF,SAMPLE ETF,000003,SAMPLE_ISIN_3,STK,STOCK,SAMPLE_C,1200,120000000,0.25,synthetic
