date,stock_code,stock_name,close,trading_value
2025-01-02,000001,SAMPLE_A,100,1000000000
2025-01-02,000002,SAMPLE_B,110,1100000000
2025-01-02,000003,SAMPLE_C,120,1200000000
2025-01-03,000001,SAMPLE_A,101,1000000000
2025-01-03,000002,SAMPLE_B,111,1100000000
2025-01-03,000003,SAMPLE_C,121,1200000000
2025-01-04,000001,SAMPLE_A,102,1000000000
2025-01-04,000002,SAMPLE_B,112,1100000000
2025-01-04,000003,SAMPLE_C,122,1200000000
2025-01-05,000001,SAMPLE_A,103,1000000000
2025-01-05,000002,SAMPLE_B,113,1100000000
2025-01-05,000003,SAMPLE_C,123,1200000000
2025-01-06,000001,SAMPLE_A,104,1000000000
2025-01-06,000002,SAMPLE_B,114,1100000000
2025-01-06,000003,SAMPLE_C,124,1200000000
